timestamp,value
579424.0863318718,MouseWheelDown120 pressed
579425.3985557877,MouseButtonLeft pressed
579425.5200281541,MouseButtonLeft released
579428.2305194787,MouseButtonLeft pressed
579428.3112261906,MouseButtonLeft released
579428.8066055224,MouseButtonLeft pressed
579428.8866692366,MouseButtonLeft released
579429.4306984947,MouseButtonLeft pressed
579429.5024649384,MouseButtonLeft released
579430.2303779401,MouseButtonLeft pressed
579430.3265298968,MouseButtonLeft released
579431.0387249547,MouseButtonRight pressed
579431.102799126,MouseButtonRight released
579431.6063442285,MouseButtonLeft pressed
579431.7184242284,MouseButtonLeft released
579432.2623613868,MouseButtonLeft pressed
579432.3585249435,MouseButtonLeft released
579432.7430665708,MouseButtonLeft pressed
579432.8305337586,MouseButtonLeft released
